LATITUDE,LONGITUDE,PARCELNO,SALE_PRC,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus,month_sold,structure_quality
28.3815979,-81.21977808,292065309020.0,295000.0,11219.0,1726.66,0.0,11040.2,49074.23,686.59,80000.0,2659.71,5493.07,57,0.0,7,4.5
28.74718517,-81.47164239,282251385633.0,426000.0,9362.0,1791.49,0.0,4028.65,55113.18,3585.26,80000.0,9103.72,823.69,9,0.0,9,3.5
28.59474965,-81.22572292,122235612778.0,552000.0,12200.0,2970.92,15000.0,5721.78,53027.05,3566.58,59349.62,3719.8,7675.31,41,0.0,11,3.5
28.70735298,-81.45354912,342123874236.0,219000.0,5886.0,1620.79,0.0,8104.48,46375.9,1502.19,67003.63,31154.11,1226.4,12,0.0,11,3.0
28.65526086,-81.4712477,132083744024.0,303000.0,9763.0,1249.24,0.0,9163.6,59228.34,1807.73,54212.2,2068.53,2315.98,39,0.0,7,4.5
28.6749535,-81.24883896,172263088526.0,311000.0,7344.0,2066.6,0.0,6963.61,38139.33,2957.07,68993.38,12296.49,2778.27,23,0.0,9,3.5
28.52295128,-81.24209248,102311425471.0,214000.0,8435.0,1638.0,0.0,15442.93,76633.65,1255.94,50940.01,11722.5,1447.67,7,0.0,11,5.0
28.65144101,-81.46109211,192280285900.0,578000.0,9244.0,2243.95,0.0,16992.63,76102.33,330.03,50481.04,10999.12,1469.38,39,0.0,1,4.0
28.58051898,-81.22119383,212099636553.0,455000.0,8310.0,2594.36,0.0,4182.57,50474.69,1588.67,60656.47,28194.83,5544.77,60,0.0,1,4.5
28.33919547,-81.27140629,292241433354.0,218000.0,6913.0,1100.84,0.0,339.22,43691.49,682.11,80000.0,7717.27,440.47,26,0.0,6,4.5
28.3462585,-81.32234468,332269433367.0,711000.0,14965.0,3288.77,15000.0,4441.26,73786.48,167.7,72590.89,15435.07,1447.63,28,0.0,12,3.5
28.52884836,-81.54213255,172409564563.0,356000.0,7451.0,1131.84,50000.0,200.0,43420.78,5222.44,58959.26,14388.74,12509.81,7,0.0,11,4.0
28.33308683,-81.584338,252185285146.0,508000.0,8548.0,2513.59,30000.0,20347.14,61644.07,283.05,80000.0,3239.45,7822.14,37,0.0,8,3.5
28.44275632,-81.14329183,352002507569.0,458000.0,7063.0,2358.93,0.0,321.79,50424.55,901.1,80000.0,1479.61,7906.82,4,0.0,6,3.5
28.40033951,-81.41645564,302276060293.0,257000.0,5876.0,1025.99,0.0,15503.23,58641.0,200.92,51471.17,60000.0,2805.38,25,0.0,7,4.0
28.70102023,-81.23646108,162438449346.0,552000.0,8424.0,2610.08,0.0,19397.35,80383.13,243.08,78581.09,11535.25,200.0,13,0.0,12,4.5
28.54645322,-81.58291545,342337112063.0,240000.0,7179.0,1400.71,0.0,9666.87,80890.71,1511.54,73813.89,4841.98,19502.89,37,0.0,3,4.0
28.45114498,-81.59934448,282371332775.0,291000.0,9114.0,1453.76,10000.0,1194.12,59031.04,1879.21,80000.0,4859.01,4350.26,26,0.0,3,4.5
28.40675548,-81.27885409,122323836953.0,192000.0,5768.0,884.8,25000.0,2229.99,37632.78,1192.28,59567.33,22347.76,4128.56,41,1.0,9,4.0
28.5674563,-81.42040562,202099276278.0,1275000.0,15077.0,3733.07,0.0,19388.19,57649.37,82.44,18140.36,9005.37,8025.59,7,0.0,12,4.0
28.58971414,-81.20022595,172215028891.0,326000.0,8419.0,1267.3,10000.0,200.0,64967.72,1204.39,67793.8,4158.86,319.22,10,0.0,8,4.0
28.51874446,-81.28972897,292167435575.0,526000.0,7851.0,1852.97,10000.0,4779.75,49773.44,6497.52,32872.42,6815.22,5329.42,39,0.0,9,4.0
28.52959885,-81.58950495,122463849384.0,304000.0,7192.0,1420.19,8000.0,1468.13,52274.44,1060.62,76550.83,10960.1,837.97,11,0.0,11,4.5
28.51059881,-81.27410066,202409608819.0,389000.0,8285.0,2018.09,8000.0,27263.92,37044.43,674.8,39248.82,16731.96,1346.48,8,0.0,12,2.0
28.61393213,-81.45131958,352369882184.0,185000.0,7243.0,1139.48,10000.0,1410.3,47827.26,473.31,38315.97,12608.69,10153.34,9,0.0,2,4.0
28.67257523,-81.44458043,342041826060.0,238000.0,7882.0,1298.18,0.0,4392.13,67166.78,2355.13,55084.52,14199.37,200.0,13,0.0,6,4.0
28.38849354,-81.34745779,212138025168.0,791000.0,9359.0,2534.46,0.0,493.78,68479.94,632.61,55821.66,5255.87,4284.19,13,1.0,6,4.0
28.71290167,-81.26338822,192207227363.0,392000.0,8538.0,1792.2,8000.0,13031.6,46571.02,204.86,76427.27,500.0,4731.7,10,0.0,8,4.0
28.30685117,-81.59915751,192149513495.0,433000.0,7305.0,1608.98,0.0,9955.97,78451.22,1732.68,80000.0,42711.52,2177.92,9,0.0,4,3.0
28.61821613,-81.45525045,232480368267.0,558000.0,7041.0,2069.13,0.0,1095.83,36555.32,5081.7,39857.71,2090.94,200.0,23,0.0,8,3.0
28.45016359,-81.36742792,212463455342.0,447000.0,8593.0,1976.88,0.0,1525.78,59889.91,1521.85,33091.04,2713.63,1654.52,28,0.0,6,3.5
28.56197404,-81.40514928,192224332278.0,392000.0,7035.0,1764.81,50000.0,18362.04,52764.81,5399.01,13174.26,10422.03,6209.23,23,0.0,5,4.0
28.60267989,-81.35502381,172414075188.0,385000.0,5909.0,1653.22,0.0,34554.14,83668.12,933.66,24997.9,2258.28,5463.02,37,0.0,6,4.0
28.44616608,-81.1566318,222196472457.0,487000.0,8807.0,2245.2,0.0,4382.24,47590.37,3770.01,80000.0,2498.22,2604.95,5,0.0,6,3.5
28.44435029,-81.15329823,312372247277.0,453000.0,9576.0,2148.51,0.0,3929.06,51978.49,2012.44,80000.0,8680.28,4066.89,25,0.0,2,5.0
28.62832937,-81.37213559,292286976913.0,385000.0,8717.0,2434.06,50000.0,3311.73,80343.05,50.0,32984.48,500.0,10014.07,27,0.0,7,4.0
28.47394812,-81.25381449,242317429360.0,706000.0,11204.0,2058.05,10000.0,32051.54,46086.7,441.92,51779.9,19026.37,7203.43,6,0.0,8,4.0
28.53328654,-81.42695927,262058541991.0,307000.0,6940.0,1810.79,0.0,1736.33,78452.31,228.39,17417.71,9350.2,13252.74,25,0.0,8,3.0
28.53156017,-81.39030278,232432941405.0,256000.0,4724.0,1439.77,0.0,1128.79,83936.58,338.86,5233.36,5510.6,9860.64,10,0.0,6,4.0
28.29886684,-81.27083873,172105351157.0,349000.0,8447.0,1759.03,0.0,355.15,73522.68,886.07,80000.0,21548.3,801.41,25,0.0,6,4.5
28.42458971,-81.53104668,292490587292.0,421000.0,9210.0,2404.72,10000.0,4404.25,53041.98,1522.46,68641.59,27885.48,5185.62,41,0.0,10,4.0
28.39142877,-81.52593713,112127316382.0,612000.0,8142.0,2457.49,0.0,9719.7,37470.85,178.36,75473.94,36536.81,6668.0,13,0.0,5,3.5
28.30063977,-81.24645019,152077307012.0,541000.0,10870.0,2561.17,50000.0,5571.96,58358.31,1087.44,80000.0,5670.21,14159.26,28,0.0,7,4.0
28.52101638,-81.23530001,232028132060.0,280000.0,7113.0,1468.1,0.0,13269.86,61582.46,321.53,53259.09,8659.56,6373.38,58,0.0,1,4.5
28.55996845,-81.58411533,352001115291.0,361000.0,6586.0,1735.22,0.0,490.66,51333.99,1503.21,75583.93,15407.65,5484.29,22,0.0,7,3.0
28.37188049,-81.24292958,102164560123.0,384000.0,9310.0,2639.26,0.0,6287.41,56576.24,50.0,78110.43,1469.59,376.45,39,0.0,4,4.0
28.44049958,-81.36087474,322176113592.0,386000.0,7953.0,1629.61,0.0,5458.06,42945.21,669.54,35935.21,8367.3,549.67,6,1.0,8,3.5
28.75086807,-81.47089194,342475969796.0,327000.0,4888.0,1643.43,0.0,8770.96,36359.18,7408.47,80000.0,902.12,5284.74,22,0.0,1,4.0
28.52224811,-81.56650063,152037796968.0,850000.0,12125.0,3732.45,30000.0,3417.78,50954.1,1517.33,68590.92,32352.09,14568.38,42,0.0,11,4.0
28.30553776,-81.55014173,142221712502.0,379000.0,12376.0,1950.88,8000.0,2318.04,42190.42,291.74,80000.0,952.4,2044.41,39,0.0,2,4.0
28.57096448,-81.42207499,122156540693.0,497000.0,9993.0,2000.11,0.0,7970.02,70427.14,258.1,19005.17,33715.71,8464.43,7,0.0,10,3.5
28.54518301,-81.59049219,352348408422.0,222000.0,6936.0,1415.12,5000.0,4697.94,68227.1,141.7,76871.06,1767.42,10062.46,24,0.0,1,4.5
28.70482013,-81.48501091,162175882552.0,591000.0,9067.0,2194.46,0.0,1492.23,35096.86,1314.78,72351.83,4538.7,13819.16,4,0.0,6,3.5
28.64651156,-81.28311453,112176190433.0,184000.0,8701.0,1636.26,0.0,2741.99,81784.54,705.8,52532.69,500.0,3880.53,26,0.0,12,3.5
