feature,importance
TOT_LVG_AREA,0.64906347
area_per_age,0.060340688
quality_x_area,0.027121074
land_value_density,0.0150818145
age,0.012514973
hwy_convenience,0.012099949
dist_from_center,0.01146231
CNTR_DIST_log,0.011267056
LND_SQFOOT,0.010876721
month_cos,0.010588291
month_sin,0.010277943
lot_utilization,0.010240125
month_sold,0.010120554
spatial_cluster,0.010119323
quality_x_age,0.009837991
HWY_DIST_log,0.009793965
structure_quality,0.009695985
quality_sq,0.0096877
spec_feat_ratio,0.009666131
SUBCNTR_DI_log,0.00963018
LATITUDE,0.009489698
OCEAN_DIST_log,0.009360314
RAIL_DIST_log,0.0092990305
SPEC_FEAT_VAL,0.009284293
LONGITUDE,0.009183908
WATER_DIST_log,0.009153854
urban_access,0.009135497
avno60plus,0.008438832
near_water,0.0071682255
has_spec_feat,0.0
